ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears
1,Oct-2014,1,1,linear,0.1,0,L,3.0539,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,1,radial,0.15,0,L,3.402,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,2,linear,0.2,0,L,0.85076,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,2,radial,0.1,0,R,1.5851,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,3,radial,0.2,0,L,1.0013,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,3,radial,0,0.15,R,2.286,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,4,linear,0.05,0,L,1.1344,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,4,radial,0,0.2,L,2.8856,0,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,5,linear,0,0.2,R,1.0344,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,5,radial,0.05,0,R,2.8529,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,6,radial,0,0.05,L,1.1844,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,6,linear,0.2,0,L,1.0343,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,7,radial,0,0.2,R,1.0174,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,7,linear,0,0.1,L,2.4021,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,8,linear,0,0.15,L,1.0178,0,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,8,linear,0.15,0,L,1.0679,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,9,radial,0,0.15,L,1.402,0,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,9,radial,0,0.1,R,3.7867,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,10,linear,0,0.1,L,1.939,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,10,linear,0.05,0,L,2.769,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,11,radial,0.05,0,R,2.3854,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,11,radial,0,0.05,R,2.586,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,12,linear,0,0.05,L,2.1412,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,12,radial,0.2,0,L,0.9842,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,13,radial,0.15,0,L,1.1919,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,13,linear,0,0.15,L,1.2845,0,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,14,linear,0.15,0,L,0.88476,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,14,linear,0,0.2,R,0.90121,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,15,radial,0,0.1,L,2.0746,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,15,linear,0.1,0,R,3.7207,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,16,radial,0.1,0,R,2.1296,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,1,16,linear,0,0.05,R,3.4867,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,1,radial,0.2,0,L,1.2012,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,1,linear,0.2,0,L,0.95093,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,2,linear,0.1,0,L,1.3216,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,2,radial,0.15,0,L,1.2012,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,3,linear,0.2,0,L,0.86772,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,3,linear,0,0.1,L,4.0909,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,4,linear,0.05,0,R,4.4376,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,4,radial,0.1,0,L,1.3445,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,5,linear,0,0.2,R,0.90089,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,5,radial,0,0.15,R,1.4514,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,6,radial,0,0.05,L,1.4181,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,6,linear,0.15,0,L,1.001,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,7,radial,0,0.2,R,0.95096,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,7,radial,0,0.2,R,1.1009,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,8,linear,0,0.15,R,1.835,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,8,radial,0.05,0,R,1.3345,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,9,linear,0,0.1,L,1.7683,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,9,radial,0,0.1,R,2.1871,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,10,radial,0,0.15,R,0.93426,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,10,linear,0.05,0,L,1.2845,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,11,radial,0.05,0,R,2.2852,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,11,radial,0,0.05,L,2.7857,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,12,radial,0.15,0,L,0.96759,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,12,linear,0,0.15,R,1.5678,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,13,linear,0,0.05,R,3.1377,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,13,linear,0,0.2,R,1.1344,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,14,radial,0,0.1,L,1.8408,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,14,linear,0.1,0,L,1.835,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,15,radial,0.1,0,L,2.869,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,15,radial,0.2,0,L,0.90094,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,16,linear,0.15,0,L,1.0873,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,2,16,linear,0,0.05,R,3.8866,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,1,radial,0.2,0,L,0.98428,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,1,radial,0.15,0,L,1.8348,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,2,radial,0,0.05,L,1.0511,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,2,radial,0.1,0,L,2.1386,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,3,radial,0,0.2,R,0.83418,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,3,radial,0,0.15,R,1.001,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,4,radial,0,0.15,R,1.7348,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,4,radial,0,0.2,R,1.0356,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,5,linear,0.1,0,R,2.686,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,5,radial,0.05,0,R,1.568,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
