"SubID","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Speed","AgeDays","Gender","Condition","Group","group.name","Coh"
"1043",1,6,"radial",0.45,0,"L",1.6063,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",1,9,"linear",0,0.3,"R",1.6185,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,11,"linear",0.45,0,"L",2.2521,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,13,"linear",0.45,0,"L",2.453,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,16,"radial",0,0.45,"R",1.4516,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,6,"radial",0.15,0,"L",2.2188,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,12,"radial",0.45,0,"L",1.2177,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,6,"radial",0.45,0,"L",1.4346,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,9,"radial",0,0.3,"R",2.3856,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,1,"linear",0.6,0,"L",1.3844,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,10,"linear",0,0.15,"R",3.2528,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,9,"radial",0,0.6,"R",1.8015,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,2,"radial",0,0.15,"R",1.5092,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,11,"radial",0,0.3,"R",1.3846,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,12,"radial",0,0.6,"R",9.4307,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,4,"radial",0,0.45,"R",2.2863,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,10,"radial",0.15,0,"L",1.0853,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,9,"linear",0.45,0,"R",3.9197,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,9,"radial",0,0.45,"R",1.6679,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",1,1,"radial",0.6,0,"L",1.4014,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,8,"radial",0.45,0,"L",1.318,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,10,"linear",0,0.15,"R",4.0703,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,16,"radial",0.3,0,"L",1.318,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,15,"linear",0,0.3,"R",8.2071,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",4,7,"linear",0,0.45,"R",2.9701,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,8,"linear",0,0.6,"R",1.5182,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,7,"radial",0,0.3,"R",1.285,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,4,"linear",0,0.45,"R",2.3392,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
