Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,2.6041,TRUE
1,2,radial,0.6,0,L,1.0844,TRUE
1,3,radial,0,0.15,R,1.5177,TRUE
1,4,radial,0,0.45,R,1.2012,TRUE
1,5,linear,0.6,0,L,1.1897,TRUE
1,6,linear,0,0.45,R,1.4688,TRUE
1,7,radial,0,0.3,R,1.3513,TRUE
1,8,radial,0.45,0,L,1.051,TRUE
1,9,radial,0,0.6,R,1.2346,TRUE
1,10,radial,0.15,0,L,1.3178,TRUE
1,11,radial,0.3,0,L,1.1687,TRUE
1,12,linear,0,0.3,R,1.4052,TRUE
1,13,linear,0.3,0,L,1.1176,TRUE
1,14,linear,0.45,0,L,1.3181,TRUE
1,15,linear,0,0.15,R,3.0024,TRUE
1,16,linear,0.15,0,L,2.3516,TRUE
2,1,radial,0.6,0,L,1.3692,TRUE
2,2,linear,0,0.6,R,1.3846,TRUE
2,3,linear,0.6,0,L,1.3182,TRUE
2,4,linear,0,0.45,R,2.0361,TRUE
2,5,linear,0,0.3,R,1.5388,TRUE
2,6,linear,0.3,0,L,1.3025,TRUE
2,7,radial,0,0.15,R,1.5267,TRUE
2,8,linear,0.45,0,L,1.5015,TRUE
2,9,radial,0,0.45,R,1.5732,TRUE
2,10,linear,0,0.15,R,2.9027,TRUE
2,11,radial,0,0.3,R,1.318,TRUE
2,12,radial,0.45,0,L,1.201,TRUE
2,13,linear,0.15,0,L,3.4735,TRUE
2,14,radial,0,0.6,R,1.0902,TRUE
2,15,radial,0.15,0,L,1.2353,TRUE
2,16,radial,0.3,0,L,2.5209,TRUE
3,1,radial,0.6,0,L,1.4876,TRUE
3,2,radial,0,0.15,R,1.7851,TRUE
3,3,linear,0,0.6,R,2.5239,TRUE
3,4,radial,0,0.45,R,1.0342,TRUE
3,5,radial,0,0.3,R,2.4738,TRUE
3,6,linear,0.6,0,L,1.3011,TRUE
3,7,linear,0,0.45,R,2.0054,TRUE
3,8,radial,0.45,0,L,1.4681,TRUE
3,9,linear,0,0.3,R,1.6013,TRUE
3,10,linear,0.3,0,L,1.6181,TRUE
3,11,radial,0,0.6,R,1.1845,TRUE
3,12,linear,0.45,0,L,1.4419,TRUE
3,13,linear,0,0.15,R,1.5853,TRUE
3,14,radial,0.15,0,L,1.551,TRUE
3,15,radial,0.3,0,L,1.5013,TRUE
3,16,linear,0.15,0,R,1.5686,FALSE
4,1,radial,0.6,0,L,1.5091,TRUE
4,2,radial,0,0.15,R,2.6356,TRUE
4,3,radial,0,0.45,R,1.1512,TRUE
4,4,radial,0,0.3,R,1.4513,TRUE
4,5,linear,0,0.6,R,1.0853,TRUE
4,6,radial,0.45,0,L,1.0678,TRUE
4,7,radial,0,0.6,R,1.1846,TRUE
4,8,linear,0.6,0,L,1.2543,TRUE
4,9,radial,0.15,0,L,1.5682,TRUE
4,10,radial,0.3,0,L,1.237,TRUE
4,11,linear,0,0.45,R,2.3689,TRUE
4,12,linear,0,0.3,R,2.0684,TRUE
4,13,linear,0.3,0,L,2.7365,TRUE
4,14,linear,0.45,0,L,1.1688,TRUE
4,15,linear,0,0.15,R,2.6691,TRUE
4,16,linear,0.15,0,L,3.6034,TRUE
5,1,linear,0,0.6,R,1.2012,TRUE
5,2,radial,0.6,0,L,1.188,TRUE
5,3,radial,0,0.15,R,2.6355,TRUE
5,4,radial,0,0.45,R,2.136,TRUE
5,5,linear,0.6,0,L,3.2215,TRUE
5,6,radial,0,0.3,R,1.1851,TRUE
5,7,linear,0,0.45,R,1.4748,TRUE
5,8,radial,0.45,0,L,1.5512,TRUE
5,9,radial,0,0.6,R,1.7025,TRUE
5,10,linear,0,0.3,R,1.3857,TRUE
5,11,radial,0.15,0,L,4.8873,TRUE
5,12,radial,0.3,0,L,1.4736,TRUE
5,13,linear,0.3,0,L,2.5856,TRUE
5,14,linear,0.45,0,L,1.9015,TRUE
5,15,linear,0,0.15,R,2.1589,TRUE
5,16,linear,0.15,0,L,1.6514,TRUE
