Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.8, ,0,0
1,2,linear,0,0.4,R,0.76744,TRUE
1,3,radial,0,0.8,R,2.2522,TRUE
1,4,radial,0,0.6,R,1.0849,TRUE
1,5,radial,0.6,0,R,0.7172,FALSE
1,6,radial,0.8,0,R,1.0878,FALSE
1,7,linear,0.4,0,R,1.0097,FALSE
1,8,linear,0,0.6,L,0.98662,FALSE
1,9,linear,0.8,0,R,0.61725,FALSE
1,10,linear,0.6,0,L,0.7017,TRUE
1,11,radial,0.2,0,R,0.73485,FALSE
1,12,radial,0,0.4,R,0.80091,TRUE
1,13,linear,0,0.2, ,0,0
1,14,radial,0,0.2,R,0.35043,TRUE
1,15,radial,0.4,0, ,0,0
1,16,linear,0.2,0,R,1.6019,FALSE
2,1,linear,0,0.8,R,5.1544,TRUE
2,2,linear,0,0.4, ,0,0
2,3,radial,0,0.8,R,1.2845,TRUE
2,4,radial,0,0.6,R,0.83423,TRUE
2,5,radial,0.6,0,L,1.2513,TRUE
2,6,radial,0.8,0, ,0,0
2,7,radial,0.2,0,R,0.7513,FALSE
2,8,linear,0.4,0, ,0,0
2,9,linear,0,0.6,R,2.6524,TRUE
2,10,radial,0,0.4,L,0.85066,FALSE
2,11,linear,0.8,0,R,1.3382,FALSE
2,12,radial,0,0.2,R,1.1709,TRUE
2,13,radial,0.4,0,R,2.3688,FALSE
2,14,linear,0.6,0,R,1.7014,FALSE
2,15,linear,0,0.2,R,1.0854,TRUE
2,16,linear,0.2,0,R,0.79142,FALSE
3,1,linear,0,0.8,R,1.2543,TRUE
3,2,radial,0,0.8,R,1.4348,TRUE
3,3,radial,0,0.6,R,0.73863,TRUE
3,4,linear,0,0.4,R,0.9518,TRUE
3,5,linear,0.4,0,R,0.83411,FALSE
3,6,radial,0.6,0,R,0.83414,FALSE
3,7,linear,0,0.6,R,1.2178,TRUE
3,8,linear,0.8,0,R,0.91794,FALSE
3,9,radial,0.8,0,R,1.7013,FALSE
3,10,linear,0.6,0, ,0,0
3,11,radial,0.2,0, ,0,0
3,12,radial,0,0.4,R,0.85332,TRUE
3,13,radial,0,0.2,R,1.4848,TRUE
3,14,linear,0,0.2,R,1.4846,TRUE
3,15,radial,0.4,0,R,0.93947,FALSE
3,16,linear,0.2,0,R,0.839,FALSE
4,1,radial,0,0.8,R,0.91752,TRUE
4,2,radial,0,0.6,R,0.86042,TRUE
4,3,linear,0,0.8,R,1.1178,TRUE
4,4,linear,0,0.4,R,1.3683,TRUE
4,5,radial,0.6,0,R,1.1196,FALSE
4,6,linear,0.4,0,R,1.3845,FALSE
4,7,radial,0.8,0,L,2.8532,TRUE
4,8,radial,0.2,0, ,0,0
4,9,radial,0,0.4,R,1.1844,TRUE
4,10,radial,0,0.2,R,1.3013,TRUE
4,11,radial,0.4,0,R,1.0357,FALSE
4,12,linear,0,0.6,R,0.88425,TRUE
4,13,linear,0.8,0, ,0,0
4,14,linear,0.6,0, ,0,0
4,15,linear,0,0.2,R,0.5673,TRUE
4,16,linear,0.2,0,L,2.8029,TRUE
5,1,radial,0,0.8,L,2.4689,FALSE
5,2,radial,0,0.6,R,1.1184,TRUE
5,3,radial,0.6,0,R,1.469,FALSE
5,4,linear,0,0.8,R,1.7184,TRUE
5,5,linear,0,0.4,L,2.0517,FALSE
5,6,linear,0.4,0, ,0,0
5,7,radial,0.8,0,R,1.5846,FALSE
5,8,radial,0.2,0,R,8.3069,FALSE
5,9,radial,0,0.4, ,0,0
5,10,radial,0,0.2,R,0.48379,TRUE
5,11,radial,0.4,0,R,1.0009,FALSE
5,12,linear,0,0.6,R,0.88417,TRUE
5,13,linear,0.8,0, ,0,0
5,14,linear,0.6,0,R,6.1888,FALSE
5,15,linear,0,0.2,R,1.0355,TRUE
5,16,linear,0.2,0,R,1.0185,FALSE
