Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.4362,TRUE
1,2,radial,0,0.15,R,1.5564,TRUE
1,3,radial,0.45,0,L,1.0678,TRUE
1,4,radial,0.3,0,L,1.2849,TRUE
1,5,radial,0.15,0,L,5.4712,TRUE
1,6,radial,0.6,0,L,1.3515,TRUE
1,7,linear,0,0.45,R,1.2685,TRUE
1,8,linear,0.15,0,L,3.1536,TRUE
1,9,radial,0,0.3,R,1.368,TRUE
1,10,radial,0,0.6,R,1.452,TRUE
1,11,radial,0,0.45,R,1.0847,TRUE
1,12,linear,0,0.15,L,1.2515,FALSE
1,13,linear,0.45,0,L,1.5349,TRUE
1,14,linear,0,0.6,R,3.0193,TRUE
1,15,linear,0,0.3,R,2.3413,TRUE
1,16,linear,0.3,0,L,1.635,TRUE
2,1,radial,0,0.15,R,3.2034,TRUE
2,2,radial,0.45,0,L,2.3184,TRUE
2,3,linear,0.6,0,L,1.2514,TRUE
2,4,linear,0,0.45,R,1.1355,TRUE
2,5,linear,0.15,0,L,2.4363,TRUE
2,6,radial,0.3,0,L,1.3382,TRUE
2,7,radial,0.15,0,L,2.8705,TRUE
2,8,linear,0,0.15,R,3.77,TRUE
2,9,linear,0.45,0,L,2.6273,TRUE
2,10,radial,0.6,0,L,1.3232,TRUE
2,11,radial,0,0.3,R,1.1687,TRUE
2,12,radial,0,0.6,R,1.2846,TRUE
2,13,linear,0,0.6,R,1.2354,TRUE
2,14,linear,0,0.3,R,3.8866,TRUE
2,15,radial,0,0.45,R,1.4519,TRUE
2,16,linear,0.3,0,L,1.1845,TRUE
3,1,linear,0.6,0,L,1.4354,TRUE
3,2,linear,0,0.45,R,1.3359,TRUE
3,3,radial,0,0.15,R,2.1529,TRUE
3,4,linear,0.15,0,L,3.2034,TRUE
3,5,linear,0,0.15,R,1.9683,TRUE
3,6,radial,0.45,0,L,1.2014,TRUE
3,7,linear,0.45,0,R,1.3686,FALSE
3,8,linear,0,0.6,R,1.5524,TRUE
3,9,linear,0,0.3,R,2.0183,TRUE
3,10,radial,0.3,0,L,1.3347,TRUE
3,11,radial,0.15,0,L,2.0521,TRUE
3,12,linear,0.3,0,L,1.4848,TRUE
3,13,radial,0.6,0,L,1.2849,TRUE
3,14,radial,0,0.3,R,1.1513,TRUE
3,15,radial,0,0.6,R,1.0511,TRUE
3,16,radial,0,0.45,R,1.1009,TRUE
4,1,linear,0.6,0,L,2.402,TRUE
4,2,radial,0,0.15,R,1.4218,TRUE
4,3,radial,0.45,0,L,1.3889,TRUE
4,4,linear,0,0.45,R,1.4529,TRUE
4,5,radial,0.3,0,L,1.8351,TRUE
4,6,radial,0.15,0,L,1.6738,TRUE
4,7,radial,0.6,0,L,1.0346,TRUE
4,8,linear,0.15,0,R,1.9189,FALSE
4,9,radial,0,0.3,R,2.0853,TRUE
4,10,linear,0,0.15,L,2.8528,FALSE
4,11,linear,0.45,0,L,1.8347,TRUE
4,12,radial,0,0.6,R,1.0679,TRUE
4,13,linear,0,0.6,R,1.8054,TRUE
4,14,linear,0,0.3,R,2.7192,TRUE
4,15,radial,0,0.45,R,1.2752,TRUE
4,16,linear,0.3,0,L,2.3687,TRUE
5,1,radial,0,0.15,R,1.669,TRUE
5,2,radial,0.45,0,L,1.426,TRUE
5,3,radial,0.3,0,L,1.4513,TRUE
5,4,linear,0.6,0,L,2.9035,TRUE
5,5,radial,0.15,0,L,1.8517,TRUE
5,6,linear,0,0.45,R,1.5681,TRUE
5,7,radial,0.6,0,L,1.368,TRUE
5,8,linear,0.15,0,L,3.6865,TRUE
5,9,radial,0,0.3,R,1.3348,TRUE
5,10,linear,0,0.15,R,4.0042,TRUE
5,11,linear,0.45,0,L,2.0355,TRUE
5,12,linear,0,0.6,R,1.3015,TRUE
5,13,linear,0,0.3,R,1.2376,TRUE
5,14,radial,0,0.6,R,1.3011,TRUE
5,15,linear,0.3,0,L,1.5521,TRUE
5,16,radial,0,0.45,R,1.1344,TRUE
